                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7047,                 4.1708,                  1.476,                0.44781,                0.23438,                0.20843,                  0.122,                 1.9142,                 3.3121,                 1.5428,                0.00026,                0.00026,                0.00026
                      2,                 1.7455,                 1.8845,                   1.45,                0.08604,                0.46335,                0.06318,                0.03218,                 1.6342,                 11.918,                 1.6026,             0.00053465,             0.00053465,             0.00053465
                      3,                  1.549,                 1.7146,                 1.3176,                0.00321,                  0.125,                0.00158,                0.00053,                 3.2745,                 258.47,                 3.6337,             0.00080376,             0.00080376,             0.00080376
                      4,                 1.7626,                 1.6236,                 1.5227,                0.00056,                0.15625,                0.00032,                0.00015,                 4.0268,                    inf,                 37.722,              0.0010673,              0.0010673,              0.0010673
                      5,                  1.615,                 1.4057,                 1.3936,                0.00055,                  0.125,                0.00028,                  7e-05,                 4.5716,                    inf,                 371.91,              0.0013254,              0.0013254,              0.0013254
                      6,                 1.7569,                 1.3779,                 1.5355,                0.00055,                  0.125,                0.00028,                  7e-05,                    nan,                    nan,                    nan,              0.0015778,              0.0015778,              0.0015778
                      7,                 1.8098,                 1.5845,                 1.5422,                0.00085,                0.15625,                0.00047,                0.00012,                 4.1595,                    inf,                 54.099,              0.0018248,              0.0018248,              0.0018248
                      8,                 1.7829,                 1.6099,                 1.4904,                0.00056,                0.01562,                0.00016,                  3e-05,                0.78465,                  18524,                  39.87,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.8401,                 1.4918,                 1.5615,                0.00056,                0.01562,                0.00016,                  3e-05,                      0,                  15696,                      0,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.7728,                 1.3898,                 1.5769,                0.00028,                0.07812,                0.00015,                  6e-05,                 4.1068,                    inf,                  12.36,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.7062,                  1.394,                 1.4438,                0.00637,                  0.375,                0.00431,                 0.0018,                 2.2588,                 195.88,                  2.354,               0.001802,               0.001802,               0.001802
                     12,                 1.6762,                 1.3378,                 1.3777,                0.21477,                0.32812,                0.15719,                0.08139,                 2.1663,                 6.2869,                 2.0894,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.5498,                 1.1394,                 1.3785,                0.47809,                0.25775,                0.29213,                0.15764,                 1.9762,                 5.0155,                  1.738,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.6218,                 1.2195,                 1.3847,                 0.2404,                0.20312,                0.12088,                0.05467,                 2.9471,                 4.5724,                 2.8681,              0.0017426,              0.0017426,              0.0017426
                     15,                  1.687,                 1.3141,                 1.4454,                0.48078,                  0.375,                0.32586,                 0.1484,                 2.3733,                 3.4543,                 2.0803,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.5484,                 1.2266,                 1.3917,                0.16106,                0.04688,                0.04442,                0.02972,                 3.7739,                   5.54,                 3.1013,               0.001703,               0.001703,               0.001703
                     17,                 1.6284,                 1.2091,                 1.3939,                0.01923,                0.04688,                0.01192,                0.00502,                 4.7428,                 5.5094,                 4.3465,              0.0016832,              0.0016832,              0.0016832
                     18,                 1.5815,                 1.1849,                 1.3663,                0.37379,                0.23438,                0.16097,                0.08444,                 2.6483,                 3.5835,                 2.2309,              0.0016634,              0.0016634,              0.0016634
                     19,                 1.4729,                 1.1011,                 1.3358,                0.58171,                  0.375,                0.36357,                 0.1672,                 2.0586,                 2.1286,                 1.8268,              0.0016436,              0.0016436,              0.0016436
                     20,                 1.5392,                 1.1085,                 1.3445,                0.59554,                0.54688,                0.57672,                0.31072,                 1.7576,                 1.7855,                 1.6005,              0.0016238,              0.0016238,              0.0016238
                     21,                 1.5446,                 1.1411,                 1.3643,                0.46855,                0.56483,                0.51198,                0.22256,                 2.0118,                 1.7221,                 1.7327,               0.001604,               0.001604,               0.001604
